,profit
484,588
485,17272
486,17337
487,7315
488,331
489,13367
490,5704
491,9698
492,1605
493,2621
494,15463
495,304
496,19131
497,2153
498,14393
499,9993
500,16818
501,16240
502,349
503,9160
504,7073
505,17280
506,15505
507,8288
508,12875
509,879
510,19606
511,5581
512,1352
513,11582
514,10940
515,6600
516,17863
517,17850
518,277
519,12959
520,14348
521,7230
522,19379
523,2366
524,9250
525,3339
526,98
527,10038
528,11345
529,18043
530,17324
531,14128
532,12484
533,11227
534,4958
535,2030
536,773
537,17665
538,12283
539,19161
540,4156
541,14384
542,8323
543,3871
544,11073
545,13283
546,1799
547,18799
548,15259
549,7031
550,1625
551,11383
552,10689
553,17632
554,19781
555,2992
556,16970
557,6774
558,15470
559,12274
560,16537
561,834
562,17759
563,16139
564,11190
565,6250
566,17715
567,17546
568,19980
569,8318
570,11760
571,13474
572,9569
573,3541
574,18651
575,5122
576,5369
577,8196
578,3424
579,9967
580,10172
581,15566
582,8504
583,4975
584,10602
585,11713
586,8321
587,6768
588,11552
589,243
590,6543
591,16984
592,10538
593,7764
594,7028
595,5298
596,3728
597,7863
598,11814
599,12572
600,5993
601,13566
602,18980
603,6870
604,16396
605,5322
606,6898
607,18967
608,15436
609,870
610,14118
611,827
612,6118
613,3568
614,1924
615,9000
616,16908
617,3059
618,2891
619,10618
620,6695
621,1687
622,5050
623,13725
624,11996
625,4743
626,13879
627,15531
628,17502
629,6391
630,626
631,9601
632,11121
633,10302
634,14185
635,7923
636,16436
637,16728
638,8633
639,8129
640,4973
641,10824
642,10229
643,4114
644,136
645,16501
646,16332
647,15798
648,13650
649,11333
650,12339
651,5889
652,5267
653,12919
654,19700
655,1855
656,10946
657,13557
658,2935
659,19313
660,1055
661,3613
662,18457
663,18275
664,553
665,14688
666,14236
667,6146
668,12143
669,6841
670,292
671,13978
672,5213
673,7456
674,14136
675,12651
676,19566
677,8529
678,1635
679,15361
680,2218
681,7947
682,18140
683,5223
684,5014
685,7171
686,10348
687,17951
688,19964
689,6999
690,1758
691,10351
692,140
693,1391
694,14436
695,17840
696,11554
697,3965
698,14355
699,6470
700,686
701,2297
702,13151
703,15069
704,4966
705,11101
706,429
707,3974
708,17588
709,19680
710,15225
711,18130
712,5300
713,19173
714,1659
715,6561
716,14036
717,17614
718,8430
719,18221
720,11697
721,17478
722,14696
723,16323
724,5760
725,6936
726,4932
727,7482
728,16913
729,9903
730,6151
731,7971
732,8710
733,9557
734,10810
735,4599
736,10545
737,15060
738,7472
739,1871
740,15226
741,7697
742,117
743,12123
744,12181
745,7927
746,6899
747,13108
748,3454
749,18368
750,12441
751,9842
752,18550
753,948
754,16091
755,468
756,5087
757,7671
758,320
759,6962
760,9635
761,2873
762,17528
763,10270
764,11053
765,9591
766,14015
767,3804
768,18126
769,2734
770,3477
771,15455
772,19386
773,1150
774,19351
775,17555
776,16325
777,1915
778,17542
779,1014
780,7423
781,2503
782,4482
783,8700
784,17629
785,8613
786,8785
787,14745
788,8732
789,4988
790,15252
791,5483
792,12567
793,2899
794,18876
795,17287
796,2031
797,9485
798,1717
799,6236
800,15725
801,17311
802,13870
803,1976
804,5212
805,2420
806,4334
807,2797
808,9869
809,4110
810,7817
811,16989
812,464
813,14323
814,9249
815,10416
816,2145
817,10571
818,12371
819,1846
820,2751
821,18682
822,11883
823,8409
824,1036
825,6247
826,15054
827,13120
828,8678
829,12869
830,18054
831,1292
832,8841
833,12038
834,11091
835,7321
836,14250
837,14860
838,17084
839,10096
840,2093
841,2687
842,911
843,5518
844,13084
845,18691
846,327
847,18532
848,808
849,5479
850,9780
851,1035
852,415
853,17400
854,3052
855,9811
856,4452
857,4874
858,11386
859,18157
860,10857
861,13840
862,7924
863,15655
864,16102
865,10559
866,17531
867,1438
868,10632
869,8794
870,1974
871,15346
872,4397
873,19698
874,4121
875,1946
876,15275
877,1842
878,7569
879,12624
880,6378
881,6932
882,7725
883,16430
884,7655
885,10815
886,10574
887,3121
888,6569
889,14485
890,7323
891,4236
892,15516
893,10976
894,8271
895,3465
896,8058
897,4389
898,6061
899,12425
900,4522
901,8643
902,10465
903,3175
904,10700
905,13686
906,15622
907,12785
908,13009
909,18967
910,4950
911,19698
912,8443
913,3054
914,18172
915,15157
916,19465
917,5911
918,1628
919,10353
920,14855
921,15179
922,772
923,18349
924,12807
925,4189
926,9706
927,14741
928,11648
929,15225
930,15821
931,18370
932,923
933,9472
934,14650
935,4480
936,12205
937,15473
938,14913
939,6975
940,10690
941,1399
942,121
943,829
944,11991
945,15749
946,15632
947,5956
948,12872
949,17363
950,13380
951,16334
952,7475
953,19021
954,16897
955,13282
956,3568
957,16429
958,7165
959,1575
960,10988
961,7824
962,901
963,11279
964,8936
965,16094
966,5910
967,4943
968,8720
969,8996
970,18745
971,11015
972,9969
973,18026
974,9677
975,15521
976,1145
977,12267
978,14761
979,14704
980,12982
981,14575
982,11284
983,609
984,9946
985,5594
986,17113
987,15314
988,9098
989,3617
990,3498
991,2949
992,14254
993,12612
994,17232
995,6708
996,4022
997,4001
998,10086
999,2891
1000,5522
1001,13018
1002,15384
1003,89
1004,60
1005,12020
1006,10069
1007,11890
1008,7885
1009,19068
1010,15550
1011,39
1012,12130
1013,6753
1014,4673
1015,3363
1016,6405
1017,8374
1018,10425
1019,10005
1020,4464
1021,18471
1022,11249
1023,10158
1024,14219
1025,16296
1026,7950
1027,1526
1028,19760
1029,1770
1030,18147
1031,2453
1032,5076
1033,12821
1034,3213
1035,15456
1036,9764
1037,4261
1038,161
1039,14171
1040,5424
1041,7626
1042,7372
1043,6191
1044,13878
1045,5175
1046,17400
1047,11254
1048,8906
1049,8996
1050,18524
1051,19920
1052,3587
1053,15146
1054,14274
1055,6184
1056,15531
1057,13729
1058,4890
1059,9862
1060,9489
1061,7295
1062,16663
1063,4079
1064,18482
1065,10650
1066,5713
1067,6749
1068,17106
1069,10315
1070,12214
1071,13152
1072,15959
1073,15154
1074,11937
1075,12391
1076,3894
1077,8401
1078,5144
1079,2516
1080,19725
1081,15929
1082,2739
1083,7446
1084,14367
1085,8126
1086,1419
1087,18615
1088,6844
1089,13510
1090,2299
1091,7367
1092,8173
1093,15386
1094,443
1095,19739
1096,2297
1097,1550
1098,6620
1099,12904
1100,3535
1101,17330
1102,13941
1103,11995
1104,747
1105,3839
1106,9173
1107,1533
1108,7515
1109,10702
1110,12120
1111,2761
1112,6160
1113,15409
1114,3784
1115,10619
1116,6753
1117,147
1118,1721
1119,4293
1120,9981
1121,13218
1122,14612
1123,8219
1124,5183
1125,3483
1126,3859
1127,7126
1128,6663
1129,18965
1130,15547
1131,3901
1132,10786
1133,11705
1134,18861
1135,6115
1136,13472
1137,9499
1138,7851
1139,9550
1140,555
1141,7953
1142,7250
1143,2502
1144,6569
1145,17556
1146,8008
1147,19660
1148,14970
1149,3634
1150,1549
1151,8034
1152,1273
1153,13491
1154,12348
1155,8993
1156,17951
1157,5498
1158,3302
1159,10985
1160,253
1161,13913
1162,13235
1163,10898
1164,3562
1165,5453
1166,3047
1167,15247
1168,12948
1169,16571
1170,2183
1171,18657
1172,18206
1173,3654
1174,7631
1175,13561
1176,8189
1177,16374
1178,9739
1179,2062
1180,3207
1181,16892
1182,17515
1183,2318
1184,7676
1185,12856
1186,8196
1187,221
1188,10902
1189,17492
1190,8778
1191,4746
1192,7623
1193,18665
1194,11673
1195,11368
1196,18827
1197,17852
1198,5119
1199,4199
1200,16254
1201,17684
1202,19704
1203,18957
1204,148
1205,9662
1206,1978
1207,524
1208,4468
1209,2624
1210,7095
1211,15301
1212,5599
1213,3929
1214,19165
1215,18173
1216,3581
1217,8073
1218,2333
1219,7168
1220,6498
1221,12451
1222,8770
1223,18306
1224,8837
1225,1635
1226,11669
1227,7144
1228,8231
1229,17391
1230,9215
1231,872
1232,18019
1233,17343
1234,17854
1235,5704
1236,14638
1237,17691
1238,15883
1239,3995
1240,19095
1241,3038
1242,15941
1243,1476
1244,4500
1245,16513
1246,14102
1247,17999
1248,18524
1249,5598
1250,4873
1251,18654
1252,3543
1253,8853
1254,14320
1255,19427
1256,13614
1257,12851
1258,11535
1259,1839
1260,5899
1261,19680
1262,14553
1263,18625
1264,19723
1265,2485
1266,16529
1267,18219
1268,11087
1269,14049
1270,2853
1271,2297
1272,8781
1273,10497
1274,2944
1275,18255
1276,6597
1277,10323
1278,3462
1279,16982
1280,4250
1281,1016
1282,12154
1283,1510
1284,17402
1285,13145
1286,1807
1287,3167
1288,14890
1289,13080
1290,12221
1291,16154
1292,11700
1293,19490
1294,4641
1295,18505
1296,19919
1297,14449
1298,18833
1299,7264
1300,19517
1301,19368
1302,861
1303,5124
1304,11808
1305,3011
1306,19122
1307,16128
1308,9228
1309,11353
1310,13645
1311,7457
1312,3975
1313,2307
1314,7761
1315,14178
1316,12600
1317,10178
1318,3417
1319,7367
1320,11647
1321,16085
1322,7239
1323,2909
1324,10124
1325,3894
1326,10536
1327,13741
1328,406
1329,6252
1330,16278
1331,8308
1332,13761
1333,8322
1334,1534
1335,13385
1336,1541
1337,8227
1338,16272
1339,5527
1340,13014
1341,15917
1342,15628
1343,2069
1344,9877
1345,11763
1346,9486
1347,1298
1348,9145
1349,8953
1350,15409
1351,16786
1352,12792
1353,14825
1354,12726
1355,2165
1356,18129
1357,16268
1358,8226
1359,4172
1360,17910
1361,16526
1362,4719
1363,1224
1364,15577
1365,16519
1366,1611
1367,1321
1368,11801
1369,11868
1370,6917
1371,3567
1372,19044
1373,6427
1374,6067
1375,227
1376,7397
1377,19995
1378,2853
1379,15299
1380,12072
1381,8684
1382,18846
1383,5296
1384,12703
1385,3704
1386,12297
1387,8477
1388,678
1389,13987
1390,11474
1391,13393
1392,723
1393,1306
1394,5544
1395,5547
1396,8139
1397,7779
1398,1598
1399,14127
1400,5249
1401,14421
1402,2478
1403,11195
1404,1184
1405,19770
1406,14444
1407,19241
1408,13017
1409,7828
1410,10213
1411,19909
1412,1261
1413,11864
1414,12617
1415,4333
1416,17203
1417,4941
1418,10742
1419,19056
1420,13801
1421,9176
1422,5556
1423,15617
1424,16406
1425,19272
1426,6559
1427,18671
1428,18220
1429,8945
1430,3453
1431,13734
1432,16556
1433,14803
1434,1656
1435,13358
1436,17857
1437,8219
1438,13568
1439,1671
1440,11214
1441,5658
1442,18450
1443,11110
1444,9995
1445,8607
1446,11054
1447,2795
1448,1060
1449,11903
1450,12028
1451,17341
1452,12197
1453,4450
1454,1108
1455,10262
1456,1467
1457,5674
1458,3667
1459,1430
1460,10331
1461,11167
1462,5364
1463,17945
1464,1556
1465,10327
1466,3728
1467,15805
1468,1896
1469,382
1470,6792
1471,7117
1472,15094
1473,2083
1474,2873
1475,1491
1476,14622
1477,16248
1478,15040
1479,4845
1480,8380
1481,9813
1482,7149
1483,16365
1484,11902
1485,11913
1486,15378
1487,1808
1488,6212
1489,17018
1490,3469
1491,8933
1492,14823
1493,2380
1494,17437
1495,8457
1496,15774
1497,2795
1498,7548
1499,5154
1500,3393
1501,13735
1502,17231
1503,616
1504,9174
1505,8974
1506,1730
1507,8308
1508,3445
1509,18453
1510,3020
1511,14242
1512,2829
1513,4437
1514,3370
1515,14115
1516,518
1517,8458
1518,11046
1519,9144
1520,4895
1521,3609
1522,19407
1523,6390
1524,14406
1525,4039
1526,8630
1527,9136
1528,17362
1529,10645
1530,1976
1531,1100
1532,10897
1533,15500
1534,3646
1535,579
1536,7665
1537,4350
1538,10860
1539,10410
1540,6820
1541,17449
1542,855
1543,18527
1544,5760
1545,18975
1546,292
1547,11818
1548,10629
1549,5715
1550,19181
1551,8971
1552,19916
1553,10347
1554,4654
1555,4845
1556,18792
1557,9387
1558,12998
1559,4260
1560,15328
1561,3084
1562,1035
1563,15767
1564,11074
1565,18066
1566,5147
1567,17677
1568,13675
1569,1416
1570,2260
1571,18538
1572,8246
1573,4189
1574,18220
1575,6867
1576,9266
1577,8188
1578,9037
1579,12692
1580,4413
1581,1803
1582,1411
1583,11762
1584,1588
1585,10051
1586,11349
1587,11596
1588,6886
1589,7634
1590,1732
1591,17656
1592,17602
1593,8861
1594,474
1595,14737
1596,14847
1597,13219
1598,19126
1599,12058
1600,18915
1601,3007
1602,3718
1603,17300
1604,19212
1605,17904
1606,18363
1607,18294
1608,19669
1609,19220
1610,9303
1611,5896
1612,4147
1613,16806
1614,18634
1615,16116
1616,17389
1617,14595
1618,12904
1619,12990
1620,3482
1621,1472
1622,18197
1623,7748
1624,5786
1625,5545
1626,7027
1627,6915
1628,14227
1629,9118
1630,15323
1631,14485
1632,9793
1633,2586
1634,2872
1635,7917
1636,14472
1637,5986
1638,6187
1639,8762
1640,19878
1641,18279
1642,19116
1643,3858
1644,3135
1645,5163
1646,5613
1647,1165
1648,3461
1649,4610
1650,18950
1651,5222
1652,15537
1653,15243
1654,9828
1655,17422
1656,6813
1657,19170
1658,19475
1659,3966
1660,10190
1661,11771
1662,17444
1663,17645
1664,6102
1665,7594
1666,458
1667,14782
1668,10687
1669,18827
1670,17521
1671,11860
1672,8393
1673,17340
1674,4641
1675,19355
1676,17288
1677,15623
1678,2740
1679,13555
1680,2450
1681,15356
1682,12438
1683,16120
1684,9385
1685,932
1686,13075
1687,19476
1688,10586
1689,6078
1690,17020
1691,5524
1692,15912
1693,5472
1694,13013
1695,7989
1696,12628
1697,8473
1698,19390
1699,2050
1700,2022
1701,1566
1702,5395
1703,11079
1704,7715
1705,16928
1706,8331
1707,11460
1708,11330
1709,10923
1710,12325
1711,332
1712,4115
1713,12457
1714,16955
1715,9034
1716,10505
1717,19212
1718,18745
1719,15726
1720,6745
1721,6806
1722,19089
1723,12572
1724,7160
1725,13333
1726,17389
1727,3180
1728,5322
1729,15855
1730,11842
1731,1020
1732,7230
1733,11927
1734,17153
1735,7981
1736,15427
1737,958
1738,12129
1739,11193
1740,4005
1741,17549
1742,17100
1743,1011
1744,3757
1745,10056
1746,9435
1747,6020
1748,9322
1749,14437
1750,16975
1751,9213
1752,16719
1753,5697
1754,18659
1755,12062
1756,4785
1757,14958
1758,7492
1759,18667
1760,18793
1761,8045
1762,15032
1763,11910
1764,15608
1765,11751
1766,10502
1767,8476
1768,6957
1769,19927
1770,7231
1771,19121
1772,13001
1773,13912
1774,8410
1775,9698
1776,7997
1777,19462
1778,11714
1779,8382
1780,6049
1781,14473
1782,554
1783,14211
1784,3224
1785,11172
1786,17187
1787,190
1788,19754
1789,14195
1790,13562
1791,5875
1792,13935
1793,4003
1794,12897
1795,3730
1796,1188
1797,15842
1798,2940
1799,14077
1800,3147
1801,1438
1802,16687
1803,12852
1804,2014
1805,4033
1806,7838
1807,17607
1808,2776
1809,4516
1810,19054
1811,13355
1812,10675
1813,527
1814,869
1815,3360
1816,11079
1817,19285
1818,338
1819,656
1820,9461
1821,9593
1822,11430
1823,19184
1824,18603
1825,13681
1826,19300
1827,11204
1828,18331
1829,10886
1830,13200
1831,8477
1832,3476
1833,13449
1834,8236
1835,15004
1836,16176
1837,13922
1838,16827
1839,4349
1840,18660
1841,9546
1842,17613
1843,9806
1844,12446
1845,18939
1846,2316
1847,6615
1848,13777
1849,14839
1850,2949
1851,3141
1852,9975
1853,2534
1854,10642
1855,9057
1856,10909
1857,1410
1858,9904
1859,11243
1860,12890
1861,2527
1862,6919
1863,14458
1864,3629
1865,17602
1866,19154
1867,19880
1868,10789
1869,8954
1870,19924
1871,14192
1872,3448
1873,17515
1874,18346
1875,6742
1876,3807
1877,12305
1878,8986
1879,50
1880,1932
1881,50
1882,19164
1883,8860
1884,12017
1885,16831
1886,13292
1887,9780
1888,8320
1889,13575
1890,2330
1891,8488
1892,5039
1893,3352
1894,4514
1895,11469
1896,16012
1897,18604
1898,1659
1899,9989
1900,15690
1901,448
1902,10234
1903,8709
1904,57
1905,1295
1906,1174
1907,4521
1908,6058
1909,14394
1910,9220
1911,18294
1912,19030
1913,16595
1914,17684
1915,5315
1916,16820
1917,451
1918,12945
1919,8782
1920,14176
1921,2934
1922,5515
1923,10610
1924,19720
1925,17460
1926,17827
1927,10930
1928,12771
1929,5535
1930,4849
1931,16631
1932,1495
1933,9099
1934,4046
1935,8842
1936,19952
1937,13097
1938,1736
1939,1167
1940,4802
1941,10605
1942,12243
1943,466
1944,3349
1945,7522
1946,13147
1947,2096
1948,3999
1949,8284
1950,1501
1951,166
1952,16771
1953,15865
1954,4122
1955,3825
1956,8499
1957,7128
1958,9903
1959,15015
1960,15943
1961,9336
1962,15627
1963,18031
1964,16806
1965,16366
1966,15419
1967,1502
1968,14984
1969,17259
1970,9395
1971,1414
1972,16410
1973,1351
1974,14574
1975,5118
1976,17929
1977,2507
1978,5431
1979,5633
1980,18559
1981,949
1982,18225
1983,11296
1984,3183
1985,12795
1986,8163
1987,2822
1988,4958
1989,11770
1990,19877
1991,3876
1992,15893
1993,1891
1994,3941
1995,8354
1996,10704
1997,7654
1998,13950
1999,17011
2000,16324
2001,13999
2002,2213
2003,11646
2004,12832
2005,9292
2006,7741
2007,16324
2008,812
2009,3120
2010,16025
2011,13375
2012,7449
2013,8351
2014,18871
2015,16628
2016,5872
2017,5295
2018,2777
2019,10583
2020,19966
2021,11166
2022,9614
2023,4334
2024,4893
2025,15274
2026,14477
2027,10050
2028,2874
2029,11474
2030,5182
2031,16325
2032,9232
2033,2815
2034,12445
2035,18658
2036,15687
2037,12108
2038,13041
2039,8959
2040,5096
2041,13049
2042,8197
2043,14853
2044,6489
2045,19737
2046,5058
2047,9127
2048,14007
2049,3165
2050,10062
2051,19500
2052,16485
2053,629
2054,16655
2055,19120
2056,12272
2057,500
2058,2544
2059,4647
2060,6369
2061,14409
2062,9085
2063,330
2064,3976
2065,11306
2066,18024
2067,17896
2068,8705
2069,18965
2070,14114
2071,19403
2072,18965
2073,14794
2074,2697
2075,3709
2076,15855
2077,4848
2078,3022
2079,771
2080,8412
2081,15410
2082,2101
2083,6751
2084,16514
2085,1502
2086,1222
2087,17118
2088,2878
2089,17072
2090,5291
2091,7524
2092,14913
2093,8358
2094,8373
2095,10656
2096,6024
2097,2358
2098,7687
2099,13236
2100,17801
2101,5470
2102,11193
2103,19717
2104,16675
2105,4341
2106,2507
2107,7442
2108,1600
2109,12054
2110,3362
2111,10094
2112,3355
2113,3516
2114,18111
2115,8240
2116,14508
2117,3002
2118,13840
2119,17192
2120,15641
2121,19355
2122,4988
2123,11885
2124,7369
2125,13040
2126,5489
2127,7382
2128,9435
2129,12707
2130,5203
2131,3151
2132,7540
2133,16958
2134,11166
2135,15672
2136,8029
2137,9733
2138,10373
2139,13654
2140,7080
2141,15354
2142,2176
2143,12629
2144,2337
2145,18626
2146,7912
2147,6326
2148,19967
2149,5703
2150,16163
2151,6838
2152,15001
2153,13614
2154,15888
2155,11655
2156,12014
2157,19323
2158,14396
2159,14586
2160,8356
2161,11307
2162,3558
2163,12510
2164,6086
2165,3031
2166,7784
2167,14731
2168,1368
2169,18166
2170,7736
2171,12931
2172,19958
2173,5949
2174,9610
2175,8143
2176,18199
2177,474
2178,1009
2179,15366
2180,3669
2181,6516
2182,2198
2183,5237
2184,13872
2185,11679
2186,18913
2187,3727
2188,367
2189,12306
2190,17466
2191,8707
2192,19845
2193,12162
2194,9006
2195,8905
2196,1726
2197,7539
2198,9094
2199,17533
2200,10590
2201,7046
2202,19459
2203,2588
2204,7397
2205,6623
2206,4695
2207,19890
2208,5211
2209,13080
2210,6954
2211,10006
2212,4963
2213,18342
2214,5628
2215,13715
2216,14077
2217,1739
2218,19166
2219,9697
2220,1658
2221,3185
2222,5128
2223,983
2224,7853
2225,7905
2226,12822
2227,8536
2228,13246
2229,11540
2230,8658
2231,17471
2232,14774
2233,8025
2234,4253
2235,7602
2236,7391
2237,1002
2238,18499
2239,14963
2240,5263
2241,15456
2242,11566
2243,16355
2244,4194
2245,1426
2246,1939
2247,908
2248,2193
2249,19154
2250,9367
2251,3761
2252,19065
2253,16393
2254,8554
2255,11206
2256,14368
2257,18982
2258,9799
2259,2766
2260,11797
2261,11739
2262,3806
2263,6795
2264,13425
2265,18060
2266,17469
2267,11282
2268,11444
2269,5176
2270,11730
2271,1041
2272,19398
2273,8169
2274,3931
2275,11773
2276,10715
2277,8806
2278,12797
2279,10686
2280,4696
2281,16082
2282,12085
2283,1516
2284,9829
2285,11360
2286,5010
2287,8952
2288,5076
2289,19308
2290,7567
2291,11210
2292,11905
2293,11943
2294,19687
2295,12163
2296,15259
2297,16624
2298,17486
2299,11239
2300,18258
2301,4719
2302,15276
2303,16607
2304,10492
2305,19730
2306,11044
2307,9864
2308,6148
2309,9561
2310,3987
2311,18416
2312,5192
2313,11416
2314,7524
2315,814
2316,19563
2317,19821
2318,10092
2319,5604
2320,1094
2321,16709
2322,7291
2323,15013
2324,19542
2325,6866
2326,8391
2327,9513
2328,3750
2329,12290
2330,1528
2331,15886
2332,8433
2333,14496
2334,17220
2335,4494
2336,5131
2337,14202
2338,5767
2339,3266
2340,10265
2341,12717
2342,4462
2343,15296
2344,566
2345,14730
2346,15728
2347,13578
2348,6739
2349,2403
2350,8002
2351,13311
2352,12149
2353,17186
2354,12880
2355,4021
2356,19937
2357,15560
2358,6847
2359,4153
2360,10169
2361,14904
2362,7266
2363,13782
2364,15595
2365,16307
2366,17604
2367,13555
2368,7621
2369,10908
2370,17192
2371,14834
2372,2935
2373,6223
2374,15789
2375,10195
2376,2659
2377,10053
2378,735
2379,4748
2380,19656
2381,3502
2382,2013
2383,8177
2384,5366
2385,5034
2386,14001
2387,4085
2388,17051
2389,13257
2390,10031
2391,14720
2392,5166
2393,10955
2394,2258
2395,16419
2396,12249
2397,5711
2398,17622
2399,19654
2400,16702
2401,8221
2402,14103
2403,10001
2404,9144
2405,4630
2406,19782
2407,17949
2408,18872
2409,19495
2410,17721
2411,6442
2412,5407
2413,11191
2414,12793
2415,2653
2416,18500
2417,5074
2418,10495
2419,13608
2420,5811
2421,17671
2422,6518
2423,12361
2424,17521
2425,14183
2426,2694
2427,15998
2428,17854
2429,19138
2430,6239
2431,19182
2432,16157
2433,8222
2434,13070
2435,2451
2436,7581
2437,275
2438,12366
2439,18693
2440,5737
2441,18539
2442,2715
2443,12255
2444,15759
2445,7403
2446,5794
2447,8532
2448,14812
2449,16823
2450,6135
2451,18671
2452,8463
2453,928
2454,18579
2455,8870
2456,4289
2457,17979
2458,15206
2459,4103
2460,17885
2461,9550
2462,14131
2463,9159
2464,16763
2465,19152
2466,17309
2467,8648
2468,17647
2469,12233
2470,7255
2471,18142
2472,19664
2473,10516
2474,3945
2475,7025
2476,1773
2477,7044
2478,4372
2479,6713
2480,3326
2481,11047
2482,17351
2483,15280
2484,16381
2485,15633
2486,7241
2487,10089
2488,11742
2489,6849
2490,15847
2491,16047
2492,8773
2493,10981
2494,19278
2495,15083
2496,1417
2497,18403
2498,8409
2499,14363
2500,6737
2501,18894
2502,454
2503,102
2504,6935
2505,10046
2506,11153
2507,2259
2508,8442
2509,11133
2510,1651
2511,13727
2512,4992
2513,14329
2514,15635
2515,11742
2516,859
2517,7040
2518,18985
